source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score
4362,2021-03-18 15:20:00,"But this can be done both abroad and in Russia, in leading centres.",russia,[],leader,0.8404764533042908,protector,0.5719039440155029
2782,2017-11-14 15:20:00,I would emphasise that the created reserve in the form of new capacities gives us today the opportunity to implement a large-scale long-term programme to modernise Russia's thermal power industry.,russia,[],leader,0.491881787776947,protector,0.6192126274108887
715,2013-10-03 16:45:00,And over the years United Russia has come a very long way in terms of its own development and made an enormous contribution – and I say this without any undue exaggeration – to that of the country.,russia,['united'],leader,0.5971325039863586,protector,0.7451205253601074
1450,2015-04-28 15:40:00,The thing is that that conflict could have led to a Yugoslav scenario in Russia.,russia,[],leader,0.381110280752182,casualty,0.4679462909698486
2917,2018-02-08 15:20:00,"By the way, I was happy that people, who worked here, our compatriots, who returned and worked here within the framework of mega-grants – they started talking about how to make it interesting for young Russian researchers to work here.",russia,[],defender,0.5556486248970032,protector,0.6675444841384888
2937,2018-03-01 14:00:00,"The US global missile defence system also includes five cruisers and 30 destroyers, which, as far as we know, have been deployed to regions in close proximity to Russia’s borders.",russia,[],defender,0.7330889701843262,protector,0.7510883808135986
1477,2015-05-10 16:00:00,The Soviet Union made tremendous efforts to put in place conditions for collective resistance to Nazism in Germany and made repeated attempts to create an anti-Nazi bloc in Europe.,soviet union,[],defender,0.5451043248176575,protector,0.704937756061554
294,2012-11-29 18:00:00,Over the centuries Russia sought to develop these territories.,russia,[],defender,0.4819744825363159,protector,0.7134701609611511
631,2013-08-02 18:40:00,"There are several reasons we still have scholarships – they are not just a tradition we inherited from the Soviet era – namely, the need to create the conditions in which people who have limited funds, or whose families have limited funds, still have a chance of getting higher education or specialised secondary education.",soviet,[],defender,0.5586798787117004,protector,0.7659595608711243
828,2013-12-12 18:00:00,"Russia got a directly effective document that allowed us to avoid the tragedy of the dissolution of our state, helped stop the devastating spread of civil confrontation, and prevented the nation from once again descending down the path of settling political accounts, as had already happened several times in our history.",russia,[],leader,0.4640456438064575,protector,0.7799819111824036
4143,2020-07-02 15:20:00,The Nazis planned to colonise the Soviet land and to kill or turn into slaves and to take away the languages and culture of all who lived here – the Slavs and people of other ethnicities.,soviet,[],victim,0.5154611468315125,casualty,0.7541031837463379
1800,2016-01-12 06:00:00,"At the outset, the idea of creating the Council was actively supported, if not initiated, by Mr Berlusconi, the former Prime Minister of Italy, and I believe it was in Italy that we signed the document on establishing the Russia-NATO Council.",russia,[],leader,0.859801173210144,protector,0.5598872900009155
3470,2019-02-20 13:30:00,"Of course, there must be a competitive environment, but we already have the tools to support Russian manufacturers.",russia,[],defender,0.5265794396400452,protector,0.6403401494026184
3668,2019-07-04 06:00:00,"Cumulative direct investment from Italy reached $4.7 billion by the beginning of this year, while Russia’s investment in Italy is also significant – $2.7 billion.",russia,[],leader,0.5031529664993286,protector,0.5060625076293945
715,2013-10-03 16:45:00,"Good afternoon, friends, Tomorrow the 14th United Russia party congress will start its work in Moscow.",russia,['united'],defender,0.4466974437236786,protector,0.642988920211792
4842,2022-06-09 18:20:00,"When he founded the new capital, none of the European countries recognised this territory as part of Russia; everyone recognised it as part of Sweden.",russia,[],leader,0.5399205684661865,protector,0.565665602684021
2417,2017-03-29 21:20:00,I would like to remind you that this region has tremendous significance for bolstering Russia’s position in the world and guaranteeing our economic interests.,russia,[],defender,0.5679289698600769,protector,0.829647421836853
1215,2014-10-15 23:00:00,"The people of Crimea, seeing the complexity and unpredictability of the situation and in order to protect their rights to their native language, culture and history, decided to hold a referendum in full compliance with the UN Charter, as a result of which the peninsula re-joined Russia.",russia,[],defender,0.6806786060333252,protector,0.8673179149627686
4643,2021-11-30 16:00:00,"And we intend to continue doing this by addressing a key matter of our development, that is, by diversifying the Russian economy.",russia,[],leader,0.4779118597507477,protector,0.5946869850158691
4538,2021-09-11 13:10:00,"Russia is an absolute leader in this sport as well as in wrestling, where our athletes invariably collect plenty of gold medals for our national team.",russia,[],leader,0.9686747193336488,protector,0.7471774816513062
