source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score,gemini_classification_1,gemini_classification_2,manual_classification
2124,2016-09-05 17:20:00,"We cannot be 100 percent certain, but we are continuing our dialogue on these matters, on Syria, with our Turkish partners and with our American partners.",syria,[],partner,0.957789301872253,ally,0.887738168239594,partner,partner,partner
2838,2017-12-11 13:00:00,"By helping the people of Syria to maintain their statehood, to fight off attacks by terrorists, you have inflicted a devastating blow to those who have directly, brazenly and openly threatened our country.",syria,[],partner,0.864673137664795,ally,0.65108847618103,enemy,partner,enemy
3056,2018-05-24 22:20:00,"Regarding Syria, it is a very complicated matter.",syria,[],partner,0.62258791923523,adversary,0.703822910785675,neutral,neutral,neutral
1646,2015-09-28 19:25:00,We think it’s a big mistake to refuse to cooperate with the Syrian authorities and government forces who valiantly fight terrorists on the ground.,syria,[],partner,0.835094094276428,adversary,0.484096348285675,partner,partner,partner
2807,2017-11-22 19:00:00,ISIS bases in Syria and Iraq have mostly been destroyed and a consensus with regard to fighting terrorism has been reached in the region.,syria,[],enemy,0.669085443019867,adversary,0.598287522792816,enemy,partner,neutral
2986,2018-04-04 16:20:00,"We have agreed to expand the entire range of our trilateral cooperation in Syria, primarily within the framework of the Astana process, which has proved its effectiveness more than once.",syria,[],partner,0.909542441368103,ally,0.78315019607544,partner,partner,partner
1930,2016-04-21 14:00:00,"Thanks to our Aerospace Forces, the Syrian army has seized the strategic initiative and the terrorist groups have suffered heavy losses.",syria,[],partner,0.865934431552887,ally,0.66465824842453,partner,partner,partner
1627,2015-09-15 12:30:00,The scope of the organisation’s work has reached far beyond the borders of Iraq and Syria.,syria,[],partner,0.68262380361557,adversary,0.545190274715424,neutral,neutral,neutral
2586,2017-07-06 14:30:00,"I would like to note that Russian weapons have demonstrated reliability and wide-ranging functionality during the anti-terrorist operation in Syria, something we have discussed.",syria,[],partner,0.875633478164673,ally,0.754054427146912,partner,partner,partner
4142,2020-07-01 14:30:00,"Moreover, new sanctions have been imposed aimed, obviously, at suffocating the Syrian Arab Republic economically.",syria,[],enemy,0.571430683135986,adversary,0.933184564113617,enemy,partner,enemy
2986,2018-04-04 16:20:00,"We also agreed to consolidate our efforts on the post-conflict recovery of Syria, primarily, the construction of social and infrastructure facilities.",syria,[],partner,0.910921573638916,ally,0.617129325866699,partner,partner,partner
1816,2016-01-25 16:30:00,"You know, we are not going to meddle in any way in the state structure, in resolving problems standing before Syria or other nations in the region, which you just mentioned.",syria,[],neutral,0.936050832271576,unbiased,0.836589336395264,neutral,neutral,neutral
2806,2017-11-22 18:40:00,This is the goal of the Russia-supported initiative to convene the Syrian National Dialogue Congress here in Sochi.,syria,[],partner,0.984639227390289,ally,0.928927421569824,partner,partner,partner
3191,2018-08-12 15:20:00,"The second one is how Iran, Russia and Turkey cooperate in establishing peace and security in Syria.",syria,[],partner,0.978814125061035,ally,0.951366484165192,partner,partner,partner
1909,2016-04-07 17:00:00,Our mission was above all to bolster Syria’s statehood and support the legitimate government.,syria,[],partner,0.85843425989151,ally,0.715681374073029,partner,partner,partner
1538,2015-06-29 13:10:00,"We know the difficult situation in Syria and how it is developing, particularly as concerns the attacks by international terrorism.",syria,[],partner,0.475116461515427,adversary,0.798823356628418,enemy,partner,neutral
2806,2017-11-22 18:40:00,"For six years, the Syrian people fought terrorism that was funded and supplied with weapons and intelligence by foreign nations, and it needed friendly nations and governments to aid it in this unequal struggle.",syria,[],partner,0.74524313211441,ally,0.813706755638123,enemy,partner,partner
1640,2015-09-22 18:40:00,Both our nations are also concerned about the situation in Syria.,syria,[],partner,0.947214841842651,ally,0.686872601509094,neutral,neutral,neutral
573,2013-06-21 19:00:00,"Regarding the question on Syria and the conference on Syria, I think we should take the results of the G8’s work and make a real effort now to build the framework conditions for reaching the needed decisions.",syria,[],partner,0.795295178890228,adversary,0.457923948764801,neutral,neutral,neutral
4124,2020-06-19 00:00:00,I see our servicemen fighting international terrorism in the North Caucasus and fighting to the bitter end in Syria.,syria,[],partner,0.816975176334381,adversary,0.549865007400513,enemy,partner,partner
